Contract Name,Bid,Strike,Last Price,Last Trade Date,Implied Volatility,DateTime
SPY200129C00316000,11.92,316,11.05,2020-01-28 11:54AM EST,43.95%,2020-01-28 11:54AM EST
SPY200129C00317000,10.92,317,10.83,2020-01-29 11:23AM EST,41.41%,2020-01-29 11:23AM EST
SPY200129C00318000,9.91,318,9.72,2020-01-28 2:11PM EST,36.91%,2020-01-28 2:11PM EST
SPY200129C00319000,8.95,319,9.01,2020-01-29 12:22PM EST,33.89%,2020-01-29 12:22PM EST
SPY200129C00320000,7.91,320,7.78,2020-01-29 11:17AM EST,30.76%,2020-01-29 11:17AM EST
SPY200129C00321000,6.96,321,6.97,2020-01-29 12:23PM EST,27.25%,2020-01-29 12:23PM EST
SPY200129C00322000,5.94,322,5.94,2020-01-29 12:08PM EST,23.24%,2020-01-29 12:08PM EST
SPY200129C00323000,4.96,323,5.1,2020-01-29 12:19PM EST,21.29%,2020-01-29 12:19PM EST
SPY200129C00324000,4,324,4.05,2020-01-29 12:15PM EST,17.63%,2020-01-29 12:15PM EST
SPY200129C00325000,3.01,325,3.02,2020-01-29 12:08PM EST,14.80%,2020-01-29 12:08PM EST
SPY200129C00326000,2.09,326,2.11,2020-01-29 12:23PM EST,13.06%,2020-01-29 12:23PM EST
SPY200129C00327000,1.27,327,1.26,2020-01-29 12:20PM EST,11.45%,2020-01-29 12:20PM EST
SPY200129C00328000,0.58,328,0.59,2020-01-29 12:23PM EST,9.47%,2020-01-29 12:23PM EST
SPY200129C00329000,0.17,329,0.19,2020-01-29 12:22PM EST,8.37%,2020-01-29 12:22PM EST
SPY200129C00330000,0,330,0.05,2020-01-29 12:16PM EST,3.13%,2020-01-29 12:16PM EST
SPY200129C00331000,0,331,0.01,2020-01-29 12:23PM EST,6.25%,2020-01-29 12:23PM EST
SPY200129C00332000,0,332,0.01,2020-01-29 12:12PM EST,6.25%,2020-01-29 12:12PM EST
SPY200129C00333000,0,333,0.01,2020-01-29 10:51AM EST,6.25%,2020-01-29 10:51AM EST
SPY200129C00334000,0.54,334,0.01,2020-01-29 10:51AM EST,6.25%,2020-01-29 10:51AM EST
SPY200129C00335000,0.01,335,0.01,2020-01-29 9:49AM EST,12.50%,2020-01-29 9:49AM EST
SPY200129C00336000,0.12,336,0.01,2020-01-28 10:17AM EST,12.50%,2020-01-28 10:17AM EST
SPY200129C00337000,0.05,337,0.01,2020-01-29 12:07PM EST,12.50%,2020-01-29 12:07PM EST
SPY200129C00338000,0.02,338,0.01,2020-01-29 9:35AM EST,12.50%,2020-01-29 9:35AM EST
SPY200129C00339000,0.02,339,0.01,2020-01-24 1:50PM EST,12.50%,2020-01-24 1:50PM EST
SPY200129C00340000,0.01,340,0.01,2020-01-28 10:02AM EST,12.50%,2020-01-28 10:02AM EST
SPY200129C00341000,0.01,341,0.01,2020-01-23 2:28PM EST,12.50%,2020-01-23 2:28PM EST
SPY200129C00342000,0,342,0.01,2020-01-24 10:05AM EST,25.00%,2020-01-24 10:05AM EST
SPY200129C00343000,0.01,343,0.01,2020-01-24 11:36AM EST,25.00%,2020-01-24 11:36AM EST
SPY200129C00345000,0,345,0.01,2020-01-17 3:55PM EST,25.00%,2020-01-17 3:55PM EST
SPY200129C00348000,-,348,0.01,2020-01-22 1:36PM EST,25.00%,2020-01-22 1:36PM EST
SPY200129C00350000,0,350,0.02,2020-01-24 10:23AM EST,25.00%,2020-01-24 10:23AM EST
